State,Year,Sales (MWh)_res,Sales (MWh)_com,Sales (MWh)_ind,Revenue (thousand$)_res,Revenue (thousand$)_com,Revenue (thousand$)_ind,real_Revenue (thousand$)_res,real_Revenue (thousand$)_com,real_Revenue (thousand$)_ind
MD,2008,24130724.0,28338371,5504822,3238209.2,1583347.5,123861,4401601.990803658,2152197.4269401724,168360.59393041432
MD,2009,23920474.0,28189789,5170790.0,3501626.1,1406924.5,117488.8,4776651.049914466,1919219.013724905,160269.2531544675
MD,2010,25672985.0,29152564,5049633.0,3464244.4,1378071.0,116768.90000000001,4649394.856743221,1849521.996665994,156716.63439437575
MD,2011,24148309.0,29168400,5481617.0,2811899.2,1301004.5,148677.0,3658397.878429263,1692660.996748007,193434.9643014328
MD,2012,23662205.0,28592791,4860129.0,2547450.2,1234654.4000000001,128979.40000000001,3247140.7714530868,1573768.4061081738,164405.2819629433
MD,2013,24301652,28437710,4081010.0,2614336.0,1334293.4,114978.7,3284290.6720124315,1676221.9421481215,144443.3584245161
MD,2014,24264507,28407835,4017995.0,2656759.5,1437340.6,128332.59999999999,3284308.0540031935,1776852.3304144703,158645.8208848675
MD,2015,24071161,28702557,3895428.0,2775883.5,1425045.3,110866.7,3427501.764398756,1759564.2180581985,136891.84357451153
MD,2016,23975105,27771665,3647468.0,2912344.2,1398158.7000000002,98083.7,3551196.8061389877,1704859.1680596818,119599.36678305216
MD,2017,22667190,26970152,3611431,2719223.6,1382368.6,98485.70000000001,3246550.1903475844,1650445.0172690926,117584.58115820821
MD,2018,24369354,27581803,3674667,2777519.0000000005,1366742.5,93697.00000000001,3237085.4772865754,1592882.8202220567,109200.04434364634
MD,2019,23841893,26907368,3503348.0,2681141.6,1344238.2999999998,90077.5,3069149.270107996,1538772.8858842119,103113.27584419749
MD,2020,23682103,24642516,3179261,2689712.9,1250611.7999999998,89374.0,3041439.2307494655,1414150.8526646856,101061.19125539485
MD,2021,24190860,25545814,3256661,2773985.8000000003,1378509.4,95088.20000000001,2995980.4195999554,1488827.798121563,102697.85279182196
MD,2022,24276218,25711708,3365147,3027673.4,1707639.1,100633.70000000001,3027673.4,1707639.1,100633.70000000001
ME,2005,4337746.0,4076196.0,3169289.0,297346.0,186514.0,63481.0,445569.8598566308,279489.2712237583,95125.61216077828
ME,2006,4188271.0,4053753.0,2800228.0,293012.0,190526.0,59252.0,425354.29990079365,276579.29826388886,86013.85942460317
ME,2007,4248182.0,4112629.0,2870617.0,299297.0,193616.0,60631.0,422445.8312112355,273281.2960229958,85578.24900406091
ME,2008,4189205.0,4064040,2791438,274083.0,164692.0,55277,372552.91549583606,223860.96459408366,75136.39120216624
ME,2009,4199036.0,3989817,2506381.0,276518.0,166012.0,54719.0,377204.74925071193,226460.89886592986,74643.48315209031
ME,2010,4211866.0,4020222,2685768.0,288690.0,176160.0,60874.0,387453.5529863888,236425.98598525146,81699.5655703122
ME,2011,4218972.0,3937327,2649636.0,294737.0,177667.0,58026.0,383465.1026945082,231152.16074135652,75494.24079417085
ME,2012,4317865.0,3972136,2649836.0,313466.1,186934.09999999998,63652.0,399563.67106936587,238277.9995796928,81134.85570180404
ME,2013,4495201,3932613,2826174.0,342062.1,193906.2,69031.1,429719.5786153667,243596.96837184546,86721.13982623404
ME,2014,4489318,3897269,2981749.0,354524.10000000003,195932.7,71434.4,438265.62282669306,242213.62327022507,88307.79573871316
ME,2015,4491413,3926545,2814867.0,601680.2999999999,306531.80000000005,79878.3,742920.3314382512,378487.8887548151,98629.14426602311
ME,2016,4420235,3894364,2619599.0,619511.4999999999,303056.5,82574.0,755407.7090772351,369535.05525880493,100687.45482423429
ME,2017,4473936,3824459,2495272,648115.4,319068.19999999995,84181.4,773801.4539286878,380943.63605988893,100506.31371165141
ME,2018,4699648,4347137,2771269,727863.8,361219.5,100817.1,848295.6683366055,420986.6422381694,117498.23143321373
ME,2019,4622927,4050921,2509038.0,767303.7999999999,358244.5,93207.1,878345.96192946,410088.6897190376,106695.78321931338
ME,2020,4729363,3725100,2365708,742175.3,317981.0,91786.8,839227.5151423239,359562.4975561317,103789.50645065318
ME,2021,4881533,3858685,2351258,783941.5,341521.2,100477.5,846678.228890652,368852.22270362027,108518.44396981213
ME,2022,4895019,4023223,2420841,1056157.1,450916.4,105401.0,1056157.1,450916.4,105401.0
NY,2005,38803628.0,65133840.0,18244549.0,5846834.0,5690211.0,840758.0,8761419.376702508,8526721.455222733,1259867.0378392215
NY,2006,37144169.0,64192310.0,13044799.0,5826328.0,5614789.0,770932.0,8457857.246230159,8150774.180530754,1119132.4625992063
NY,2007,38239148.0,66322384.0,13065804.0,6052878.0,5961591.0,807839.0,8543396.953294557,8414548.977558816,1140232.6713593965
NY,2008,37469124.0,66074962,12770969,6214590.0,6287326.0,702418,8447308.381443825,8546176.274970623,954776.0123639707
NY,2009,36985921.0,64420119,11568392.0,5923677.4,6022211.0,547644.8,8080628.560560648,8215040.576707047,747055.2349664626
NY,2010,38956726.0,66012755,11656817.0,6562854.1,6536262.899999999,613332.2,8808067.957935117,8772379.659351267,823158.89033551
NY,2011,39294363.0,65244010,11568933.0,6470949.0,6382927.4,553899.4,8418973.942246564,8304454.177563694,720646.1703261773
NY,2012,38969646.0,64929131,11766746.0,6132493.8,6098785.900000001,489972.1000000001,7816863.563677622,7773897.34733704,624549.3563660202
NY,2013,39112516,64986055,16059152.0,6435979.1,6100432.1,459611.89999999997,8085275.237535252,7663740.330728417,577392.911973025
NY,2014,38325225,65021923,16251854.0,6738665.800000002,6305696.2,403621.5,8330394.362069987,7795153.763732597,498960.2345334043
NY,2015,39059905,65455558,16384281.0,6375788.599999999,6066787.600000001,369715.2,7872458.147445118,7490921.432125122,456503.1278600269
NY,2016,39018011,65002211,16052061.0,6086877.2,5873802.899999999,364197.20000000007,7422096.217885312,7162281.882193019,444087.595636794
NY,2017,37596758,63999445,16131398,6052976.7,5892872.700000001,365959.6,7226802.774716464,7035650.538587223,436928.47070006514
NY,2018,39997520,65242995,16373776,6671477.4,5925741.6,360597.1,7775335.687563469,6906210.9297948675,420261.26034120907
NY,2019,38547685,63927003,15676728.0,6224865.4,5744995.200000001,344428.49999999994,7125711.338383068,6576395.601356506,394273.2750032269
NY,2020,40175881,58650078,14837032,6644459.800000001,5693653.9,339809.00000000006,7513337.465443896,6438197.302682267,384244.8848580625
NY,2021,40114785,59273714,15074688,7173264.299999999,6560265.400000002,362418.3,7747321.340799716,7085265.788231171,391421.6613887145
NY,2022,40215094,61382859,14247694,8234424.300000001,7431302.3,374103.10000000003,8234424.300000001,7431302.3,374103.10000000003
WV,2005,11271742.0,7401747.0,11279764.0,696275.0,408255.0,434220.0,1043360.7789298514,611765.8321812595,650674.1121351765
WV,2006,10903494.0,7323750.0,13905260.0,689074.0,408655.0,515551.0,1000302.338640873,593228.8146081349,748405.6443700397
WV,2007,11632577.0,7716038.0,14648997.0,779855.0,450102.0,579029.0,1100734.3665296948,635301.1006453106,817276.441796645
WV,2008,11641855.0,7654444,14724329,818030.0,463764.0,618731,1111923.984570582,630380.6887038266,841022.7484289582
WV,2009,11473661.0,7635900,10968384.0,901471.0,516003.0,573460.0,1229717.929797657,703891.9065942004,782270.3603574208
WV,2010,12322364.0,7905309,11604182.0,1078332.0,603801.0,679130.0,1447239.4772902373,810366.9775424661,911466.7340041089
WV,2011,11660322.0,7717568,11700858.0,1090415.6,626708.8,722560.8,1418676.0740378501,815374.2297422857,940081.6706929434
WV,2012,11112265.0,7714075,11834470.0,1090084.3,647871.0,748509.0,1389490.2341372161,825817.257876948,954096.803030567
WV,2013,11494224,7736888,12003726.0,1089911.4000000001,630019.4,743930.0,1369214.1501092478,791469.3591821666,934570.9042870572
WV,2014,11900680,7821183,12813596.0,1105136.6,622635.3,751739.6,1366178.999700088,769706.904406174,929306.7072097188
WV,2015,11339371,7739931,13049414.0,1139107.3,664924.5,794641.1,1406504.372604075,821010.642896923,981177.2620550424
WV,2016,11288290,7769325,12861952.0,1288009.1,725101.3999999999,844716.8,1570547.1222110188,884159.8379088942,1030014.1041886278
WV,2017,10489632,7493876,13572607,1216149.7,716218.2000000001,901582.9,1451992.0465629078,855111.118313479,1076422.7464078816
WV,2018,11584880,7714725,14180412,1291022.9000000001,711334.3,906994.5,1504634.7047254757,829031.2080766367,1057065.2168099654
WV,2019,11066016,7497760,14526414.0,1240744.4000000001,684767.9,875152.8,1420301.624371717,783865.6863473326,1001802.5819124844
WV,2020,10792562,6892132,14243002,1270901.0,646207.0,867922.9,1437093.2153386062,730709.7054800607,981418.7816572711
WV,2021,10962739,7089305,14570728,1329316.7999999998,671266.3,884493.1,1435698.4467062769,724985.9358102372,955276.7028840829
WV,2022,11048187,7208486,14574035,1459045.6999999997,749599.8,981943.5,1459045.6999999997,749599.8,981943.5
